,title,season,ep_index,conditional_entropy
146,Bewitched,01,19,0.0016801636810280089
147,Bewitched,01,20,0.0026952438619900817
148,Bewitched,01,21,0.0015789613587119161
149,Bewitched,01,22,0.0008904689700689527
150,Bewitched,01,23,0.0016688395576435811
151,Bewitched,01,24,0.0015396808431434057
152,Bewitched,01,25,0.0018678090920805491
153,Bewitched,01,26,0.0014339781509459344
154,Bewitched,01,27,0.0007335322129948882
155,Bewitched,01,28,0.0011432263796536618
156,Bewitched,01,29,0.0008775848314041631
157,Bewitched,01,30,0.0006090409672323578
158,Bewitched,01,31,0.0006834280403614879
159,Bewitched,01,32,0.0013756795014310266
160,Bewitched,01,33,0.0006181523384398667
161,Bewitched,01,34,0.0006314631767751219
162,Bewitched,01,35,0.0007282474587648822
163,Bewitched,02,0,0.0023103402242137683
164,Bewitched,02,1,0.0007596730820480313
165,Bewitched,02,2,0.002395464649626319
166,Bewitched,02,3,0.0006897562583292071
167,Bewitched,02,4,0.006082592817432104
168,Bewitched,02,5,0.0014052579572823903
169,Bewitched,02,6,0.001981897749196178
170,Bewitched,02,7,0.0011582261292577168
171,Bewitched,02,8,0.0011334365467503811
172,Bewitched,02,9,0.001429223520306007
173,Bewitched,02,10,0.005462354020228669
174,Bewitched,02,11,0.0013074697048993272
175,Bewitched,02,12,0.0005721160023157022
176,Bewitched,02,13,0.0012671623277591482
177,Bewitched,02,14,0.0009967250462765201
178,Bewitched,02,15,0.004654721251903577
179,Bewitched,02,16,0.0009000143339228362
180,Bewitched,02,17,0.0016794429196307808
181,Bewitched,02,18,0.0018423485603537315
182,Bewitched,02,19,0.0006295667193590733
183,Bewitched,02,20,0.0015835889800367238
184,Bewitched,02,21,0.002110689435591801
185,Bewitched,02,22,0.00013714599190838648
186,Bewitched,02,23,0.0006787627733335988
187,Bewitched,02,24,0.001139505475650985
188,Bewitched,02,25,0.0008291414833854704
189,Bewitched,02,26,0.0006432635985571839
190,Bewitched,02,27,0.0020067675066490257
191,Bewitched,02,28,0.00165677009336075
192,Bewitched,02,29,0.0008187982756050117
193,Bewitched,02,30,0.0006774448696363137
194,Bewitched,02,31,0.0014845219283980869
195,Bewitched,02,32,0.0010830370051245237
196,Bewitched,02,33,0.00016415435972401253
197,Bewitched,02,34,0.0015900800513619256
198,Bewitched,02,35,0.0014734644775777552
199,Bewitched,02,36,0.0010632827649904686
200,Bewitched,02,37,0.000564151232112576
201,Bewitched,03,0,0.0002696380461603942
202,Bewitched,03,1,0.0008012818144747096
203,Bewitched,03,2,0.0011259700822311939
204,Bewitched,03,3,0.0017164715494851575
205,Bewitched,03,4,0.0011939595798103615
206,Bewitched,03,5,0.0020611222565578
207,Bewitched,03,6,0.0015011328036214297
208,Bewitched,03,7,0.0008961093485921873
209,Bewitched,03,8,0.001770991742859682
210,Bewitched,03,9,0.0011375275238089963
211,Bewitched,03,10,0.0013313171302364421
212,Bewitched,03,11,0.000843126198243625
213,Bewitched,03,12,0.0011161693954428334
214,Bewitched,03,13,0.001111066800965256
215,Bewitched,03,14,0.00021193924408336278
216,Bewitched,03,15,0.0012952381201137538
217,Bewitched,03,16,0.0005644933672029354
218,Bewitched,03,17,0.0008117304791135006
219,Bewitched,03,18,0.0009650621325157488
220,Bewitched,03,19,0.0013880143203325818
221,Bewitched,03,20,0.0
222,Bewitched,03,21,0.0003033404380186072
223,Bewitched,03,22,0.0012983924645794183
224,Bewitched,03,23,0.0014761339123436864
225,Bewitched,03,24,7.429072182795534e-05
226,Bewitched,03,25,0.0005642904963372766
227,Bewitched,03,26,0.0024776357803162814
228,Bewitched,03,27,0.0013262583735688107
229,Bewitched,03,28,0.0001789685091896615
230,Bewitched,03,29,0.0006384802521009743
231,Bewitched,03,30,0.001333918783058384
232,Bewitched,03,31,0.0005394380550463604
233,Bewitched,03,32,0.0018420132783374022
234,Bewitched,04,0,0.00015562991206909967
235,Bewitched,04,1,0.0003120288864627939
236,Bewitched,04,2,0.0010289345782980173
237,Bewitched,04,3,0.0020356145570978494
238,Bewitched,04,4,0.006253348697916147
239,Bewitched,04,5,0.00039237789711967397
240,Bewitched,04,6,0.0016008936589721632
241,Bewitched,04,7,0.0003450060376056581
242,Bewitched,04,8,0.0009690643837248071
243,Bewitched,04,9,0.0011917678028875152
244,Bewitched,04,10,0.001413651160864847
245,Bewitched,04,11,0.00041362889208593575
246,Bewitched,04,12,0.0017536092027175024
247,Bewitched,04,13,0.0065853699687771555
248,Bewitched,04,14,0.0009408602437090773
249,Bewitched,04,15,0.005528291046329873
250,Bewitched,04,16,0.0014406405512304326
251,Bewitched,04,17,0.001390098079584223
252,Bewitched,04,18,0.0005841875635889629
253,Bewitched,04,19,0.0018553894581377912
254,Bewitched,04,20,0.0005380024493692414
255,Bewitched,04,21,0.0001680729844422078
256,Bewitched,04,22,0.001206627180061833
257,Bewitched,04,23,0.001441455746503209
258,Bewitched,04,24,0.0021370383408269356
259,Bewitched,04,25,0.0015425834212876512
260,Bewitched,04,26,0.00018240746525055327
261,Bewitched,04,27,0.0020483483208127737
262,Bewitched,04,28,0.0012423778306000894
263,Bewitched,04,29,0.0009645037171832458
264,Bewitched,04,30,0.0009124000791127413
265,Bewitched,04,31,0.00046921057147332164
266,Bewitched,04,32,0.0009049055564234125
267,Bewitched,05,0,0.0017814908454939179
268,Bewitched,05,1,0.0010411211329682888
269,Bewitched,05,2,0.0004342279446289261
270,Bewitched,05,3,0.0003069022452024227
