,title,season,episode,url,seid
63,The Fresh Prince of Bel-Air,03,15,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e15,s03e15
64,The Fresh Prince of Bel-Air,03,16,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e16,s03e16
65,The Fresh Prince of Bel-Air,03,17,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e17,s03e17
66,The Fresh Prince of Bel-Air,03,18,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e18,s03e18
67,The Fresh Prince of Bel-Air,03,19,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e19,s03e19
68,The Fresh Prince of Bel-Air,03,20,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e20,s03e20
69,The Fresh Prince of Bel-Air,03,21,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e21,s03e21
70,The Fresh Prince of Bel-Air,03,22,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e22,s03e22
71,The Fresh Prince of Bel-Air,03,23,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e23,s03e23
72,The Fresh Prince of Bel-Air,03,24,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s03e24,s03e24
73,The Fresh Prince of Bel-Air,04,01,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e01,s04e01
74,The Fresh Prince of Bel-Air,04,02,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e02,s04e02
75,The Fresh Prince of Bel-Air,04,03,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e03,s04e03
76,The Fresh Prince of Bel-Air,04,04,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e04,s04e04
77,The Fresh Prince of Bel-Air,04,05,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e05,s04e05
78,The Fresh Prince of Bel-Air,04,06,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e06,s04e06
79,The Fresh Prince of Bel-Air,04,07,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e07,s04e07
80,The Fresh Prince of Bel-Air,04,08,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e08,s04e08
81,The Fresh Prince of Bel-Air,04,09,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e09,s04e09
82,The Fresh Prince of Bel-Air,04,10,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e10,s04e10
83,The Fresh Prince of Bel-Air,04,11,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e11,s04e11
84,The Fresh Prince of Bel-Air,04,12,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e12,s04e12
85,The Fresh Prince of Bel-Air,04,13,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e13,s04e13
86,The Fresh Prince of Bel-Air,04,14,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e14,s04e14
87,The Fresh Prince of Bel-Air,04,15,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e15,s04e15
88,The Fresh Prince of Bel-Air,04,16,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e16,s04e16
89,The Fresh Prince of Bel-Air,04,17,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e17,s04e17
90,The Fresh Prince of Bel-Air,04,18,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e18,s04e18
91,The Fresh Prince of Bel-Air,04,19,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e19,s04e19
92,The Fresh Prince of Bel-Air,04,20,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e20,s04e20
93,The Fresh Prince of Bel-Air,04,21,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e21,s04e21
94,The Fresh Prince of Bel-Air,04,22,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e22,s04e22
95,The Fresh Prince of Bel-Air,04,23,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e23,s04e23
96,The Fresh Prince of Bel-Air,04,24,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e24,s04e24
97,The Fresh Prince of Bel-Air,04,25,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e25,s04e25
98,The Fresh Prince of Bel-Air,04,26,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s04e26,s04e26
99,The Fresh Prince of Bel-Air,05,01,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e01,s05e01
100,The Fresh Prince of Bel-Air,05,02,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e02,s05e02
101,The Fresh Prince of Bel-Air,05,03,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e03,s05e03
102,The Fresh Prince of Bel-Air,05,04,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e04,s05e04
103,The Fresh Prince of Bel-Air,05,05,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e05,s05e05
104,The Fresh Prince of Bel-Air,05,06,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e06,s05e06
105,The Fresh Prince of Bel-Air,05,07,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e07,s05e07
106,The Fresh Prince of Bel-Air,05,08,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e08,s05e08
107,The Fresh Prince of Bel-Air,05,09,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e09,s05e09
108,The Fresh Prince of Bel-Air,05,10,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e10,s05e10
109,The Fresh Prince of Bel-Air,05,11,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e11,s05e11
110,The Fresh Prince of Bel-Air,05,12,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e12,s05e12
111,The Fresh Prince of Bel-Air,05,13,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e13,s05e13
112,The Fresh Prince of Bel-Air,05,14,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e14,s05e14
113,The Fresh Prince of Bel-Air,05,15,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e15,s05e15
114,The Fresh Prince of Bel-Air,05,16,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e16,s05e16
115,The Fresh Prince of Bel-Air,05,17,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e17,s05e17
116,The Fresh Prince of Bel-Air,05,18,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e18,s05e18
117,The Fresh Prince of Bel-Air,05,19,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e19,s05e19
118,The Fresh Prince of Bel-Air,05,20,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e20,s05e20
119,The Fresh Prince of Bel-Air,05,21,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e21,s05e21
120,The Fresh Prince of Bel-Air,05,22,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e22,s05e22
121,The Fresh Prince of Bel-Air,05,23,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e23,s05e23
122,The Fresh Prince of Bel-Air,05,24,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e24,s05e24
123,The Fresh Prince of Bel-Air,05,25,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s05e25,s05e25
124,The Fresh Prince of Bel-Air,06,01,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e01,s06e01
125,The Fresh Prince of Bel-Air,06,02,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e02,s06e02
126,The Fresh Prince of Bel-Air,06,03,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e03,s06e03
127,The Fresh Prince of Bel-Air,06,04,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e04,s06e04
128,The Fresh Prince of Bel-Air,06,05,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e05,s06e05
129,The Fresh Prince of Bel-Air,06,06,view_episode_scripts.php?tv-show=the-fresh-prince-of-bel-air&episode=s06e06,s06e06
